City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
188,sinjai,-5.1241,120.253,30.29,65,100,1.63,ID,1702004838
189,el porvenir,13.7617,-87.3458,21.63,72,0,3.12,HN,1702004839
190,rongelap,11.1635,166.8941,27.39,83,29,9.42,MH,1702004840
191,erenhot,43.6475,111.9767,-4.37,58,98,4.42,CN,1702004843
192,rikaze,29.25,88.8833,-0.48,83,94,2.59,CN,1702004845
193,adrar,20.5022,-10.0711,17.04,14,37,4.15,MR,1702004847
194,khanty-mansiysk,61.0042,69.0019,-35.94,68,0,3.0,RU,1702004848
195,sandwip,22.4678,91.4561,22.45,89,86,2.82,BD,1702004850
196,correntina,-13.3433,-44.6367,21.7,50,48,0.54,BR,1702004853
197,tobruk,32.0836,23.9764,18.25,70,43,7.43,LY,1702004857
198,labuan,5.2767,115.2417,26.48,81,100,1.66,MY,1702004860
199,mitu,1.1983,-70.1733,22.45,99,100,0.59,CO,1702004861
200,dunedin,-45.8742,170.5036,15.89,68,100,1.48,NZ,1702004564
201,polyarnyy,69.1989,33.4478,-13.8,95,91,7.1,RU,1702004866
202,alofi,-19.0595,-169.9187,29.94,66,75,5.14,NU,1702004867
203,pisco,-13.7,-76.2167,19.45,82,0,3.09,PE,1702004869
204,vila franca do campo,37.7167,-25.4333,19.23,99,100,8.38,PT,1702004871
205,howrah,22.5892,88.3103,20.0,88,75,3.09,IN,1702004872
206,el calafate,-50.3408,-72.2768,14.07,62,54,3.31,AR,1702004875
207,guantanamo,20.1444,-75.2092,24.76,91,16,2.43,CU,1702004877
208,weno,7.4515,151.8468,28.97,79,100,4.63,FM,1702004879
209,urangan,-25.3,152.9,29.0,62,0,3.13,AU,1702004759
210,berezovyy,51.6667,135.7,-10.33,52,7,1.59,RU,1702004881
211,kinkala,-4.3614,14.7644,21.27,96,95,1.48,CG,1702004882
212,pangkalanbuun,-2.6833,111.6167,31.85,55,67,1.62,ID,1702004884
213,zhangye,38.9342,100.4517,3.65,25,0,1.02,CN,1702004885
214,susuman,62.7833,148.1667,-25.57,97,100,0.45,RU,1702004887
215,bijni,26.4959,90.703,18.45,88,100,2.82,IN,1702004889
216,beya,53.0533,90.9139,-16.8,80,95,3.79,RU,1702004891
217,as sulayyil,20.4607,45.5779,13.14,37,13,2.32,SA,1702004892
218,kingston,17.997,-76.7936,27.53,78,20,2.57,JM,1702004354
219,colonia,50.9333,6.95,3.36,80,75,5.66,DE,1702004753
220,ciudad lazaro cardenas,17.9583,-102.2,25.42,78,6,1.13,MX,1702004898
221,pangkalan brandan,4.0238,98.2782,27.03,82,100,1.79,ID,1702004899
222,prado,-17.3411,-39.2208,24.27,88,21,3.68,BR,1702004901
223,dragash,42.0625,20.6533,-3.84,88,13,1.04,XK,1702004903
224,malango,-2.9627,119.9001,25.58,75,100,0.57,ID,1702004905
225,san rafael,-34.6177,-68.3301,24.06,28,0,7.12,AR,1702004909
226,kerema,-7.9631,145.7785,29.09,70,100,3.67,PG,1702004911
227,porteirinha,-15.7433,-43.0283,21.98,64,97,2.27,BR,1702004913
228,portland,45.5234,-122.6762,8.12,93,100,2.68,US,1702004503
229,saudarkrokur,65.7461,-19.6394,-7.06,78,5,3.27,IS,1702004917
230,bay city,43.5945,-83.8889,3.88,88,0,2.57,US,1702004677
231,saint-joseph,-21.3667,55.6167,25.26,83,41,3.86,RE,1702004920
232,alaghsas,17.0187,8.0168,19.38,19,93,3.18,NE,1702004922
233,akureyri,65.6835,-18.0878,-11.35,97,57,3.0,IS,1702004925
234,tindouf,27.6711,-8.1474,17.15,34,100,1.25,DZ,1702004927
235,la ronge,55.1001,-105.2842,-7.12,95,100,2.28,CA,1702004929
236,port mathurin,-19.6833,63.4167,25.94,74,6,3.48,MU,1702004930
237,antsiranana,-12.2787,49.2917,26.04,77,1,5.92,MG,1702004844
238,yerofey pavlovich,53.9667,121.9667,-22.35,86,100,0.85,RU,1702004932
239,lihue,21.9789,-159.3672,25.77,76,75,3.6,US,1702004933
240,puerto deseado,-47.7503,-65.8938,10.62,69,6,6.5,AR,1702004935
241,smithers,54.7804,-127.1743,-4.82,93,100,1.54,CA,1702004744
242,ilhabela,-23.7781,-45.3581,23.98,92,100,3.22,BR,1702004943
243,taoudenni,22.6783,-3.9836,19.21,30,87,4.55,ML,1702004947
244,soke,13.598,-5.9386,23.47,15,27,4.15,ML,1702004949
245,cidreira,-30.1811,-50.2056,19.6,82,98,7.39,BR,1702004951
246,luena,-11.7833,19.9167,17.18,95,81,1.04,AO,1702004955
247,arraial do cabo,-22.9661,-42.0278,23.72,92,20,6.45,BR,1702004958
248,boende,-0.2167,20.8667,21.22,99,97,1.02,CD,1702004959
249,bodo,67.28,14.405,-3.98,68,40,12.86,NO,1702004960
250,touros,-5.1989,-35.4608,26.28,78,37,6.06,BR,1702004962
251,nellore,14.4333,79.9667,25.35,80,81,4.05,IN,1702004964
252,san patricio,28.017,-97.5169,22.13,77,99,6.37,US,1702004965
253,elliot lake,46.3834,-82.6331,-0.21,96,100,1.16,CA,1702004966
254,issia,6.4922,-6.5856,22.56,92,24,1.02,CI,1702004968
255,dryden,49.7833,-92.7503,0.99,77,100,4.06,CA,1702004969
256,dauphin,51.1494,-100.0502,1.08,100,100,4.63,CA,1702004971
257,ploudalmezeau,48.5333,-4.65,11.14,87,75,3.09,FR,1702004973
258,kismayo,-0.3582,42.5454,26.58,78,4,4.63,SO,1702004976
259,luderitz,-26.6481,15.1594,15.93,72,0,5.46,NA,1702004979
260,mangai,-4.05,19.5333,19.55,100,99,0.55,CD,1702004981
261,airway heights,47.6446,-117.5933,3.9,80,75,5.14,US,1702004983
262,george town,5.4112,100.3354,29.96,74,20,4.12,MY,1702004865
263,valparaiso,-33.0393,-71.6273,11.8,93,40,1.03,CL,1702004987
264,tazacorte,28.629,-17.9293,18.54,80,0,4.63,ES,1702004998
265,vorkuta,67.5,64.0,-24.68,99,100,1.65,RU,1702005000
266,fatezh,52.0891,35.8632,-7.01,90,100,5.93,RU,1702005012
267,coelho neto,-4.2567,-43.0128,26.13,76,96,2.0,BR,1702005013
268,san alejo,13.4314,-87.9631,23.85,64,0,1.15,SV,1702005015
269,ankang,32.68,109.0172,12.41,55,100,0.97,CN,1702005016
270,tamandare,-8.7597,-35.1047,25.08,82,99,3.43,BR,1702005017
271,pueblo,38.2545,-104.6091,14.42,23,0,3.6,US,1702005019
272,cockburn town,21.4612,-71.1419,25.23,69,100,7.82,TC,1702005020
273,mejit,10.2753,170.8646,27.73,80,97,10.35,MH,1702005022
274,nadym,65.5333,72.5167,-19.67,97,100,6.85,RU,1702005024
275,joniskis,56.2403,23.6153,-5.49,92,100,4.38,LT,1702005025
276,codrington,-38.2667,141.9667,19.75,71,61,6.07,AU,1702005027
277,sinabang,2.4803,96.3801,28.07,76,98,0.85,ID,1702005029
278,san antonio de pale,-1.4014,5.6325,25.77,84,100,2.03,GQ,1702005031
279,carnarvon,-24.8667,113.6333,24.24,54,0,9.36,AU,1702005033
280,bamyan,34.75,67.25,-4.53,37,100,0.91,AF,1702005035
281,jaguey grande,22.5269,-81.1286,17.83,82,44,2.66,CU,1702005037
282,port arthur,38.8,121.2667,14.12,71,43,6.24,CN,1702005010
283,aliwal north,-30.6937,26.7114,14.25,84,0,1.18,ZA,1702005040
284,penzance,50.1186,-5.5371,11.38,84,9,11.63,GB,1702005042
285,lauro de freitas,-12.8944,-38.3272,27.01,78,75,4.63,BR,1702005044
286,inhambane,-23.865,35.3833,23.42,83,100,3.69,MZ,1702005045
287,darhan,49.4867,105.9228,-17.81,94,100,1.0,MN,1702005046
288,princeville,45.7668,-61.2985,-0.32,89,100,8.75,CA,1702005047
289,selkirk,50.1436,-96.8845,3.99,74,100,1.79,CA,1702005049
290,angaur state,6.906,134.13,28.48,72,99,4.61,PW,1702005051
291,darwin,-12.4611,130.8418,35.03,67,20,3.09,AU,1702004563
292,ancud,-41.8697,-73.8203,9.15,90,0,1.5,CL,1702005038
293,hato mayor del rey,18.7628,-69.2568,22.66,93,1,3.64,DO,1702005056
294,onguday,50.75,86.15,-13.48,74,99,1.12,RU,1702005057
295,lerwick,60.1545,-1.1494,6.0,93,100,15.89,GB,1702005059
296,happy valley-goose bay,53.3168,-60.3315,-4.87,80,100,6.83,CA,1702005061
297,rio gallegos,-51.6226,-69.2181,9.4,72,95,6.63,AR,1702005063
298,xilin hot,43.9667,116.0333,-10.26,83,100,5.4,CN,1702005065
299,yangcun,39.3639,117.0603,8.99,26,36,2.05,CN,1702005068
300,bikenibeu village,1.3673,173.1241,26.98,89,100,2.06,KI,1702005024
301,amealco,20.1833,-100.15,7.04,87,98,1.96,MX,1702005073
302,lubang,13.8584,120.124,27.73,75,74,8.15,PH,1702005074
303,mana,5.6592,-53.7767,25.8,89,12,4.36,GF,1702005077
304,nuuk,64.1835,-51.7216,3.34,41,95,6.17,GL,1702005079
305,east london,-33.0153,27.9116,20.22,81,13,2.86,ZA,1702004979
306,cudillero,43.5622,-6.1459,10.51,82,75,5.66,ES,1702005083
307,jayapura,-2.5333,140.7,30.66,85,100,3.69,ID,1702005086
308,shenjiamen,29.9576,122.298,16.52,71,22,9.55,CN,1702004948
309,weleri,-6.9713,110.0666,30.94,73,80,1.01,ID,1702005090
310,la passe,45.5549,-0.8967,12.13,88,100,4.5,FR,1702005093
311,zhosaly,45.4878,64.0781,-4.24,42,100,7.32,KZ,1702005094
312,tangalle,6.024,80.7911,27.09,82,40,0.42,LK,1702005096
313,cidade velha,14.9167,-23.6167,23.26,83,20,5.66,CV,1702005098
314,mae hong son,19.3003,97.9685,26.69,78,44,0.63,TH,1702005101
315,maintirano,-18.0667,44.0167,26.0,82,15,1.54,MG,1702005103
316,rio pardo de minas,-15.6097,-42.5397,20.14,73,78,2.48,BR,1702005107
317,korla,41.7597,86.1469,2.03,52,98,4.37,CN,1702005063
318,santa terezinha,-29.9002,-50.0904,18.5,97,100,1.7,BR,1702005110
319,umuarama,-23.7664,-53.325,21.97,92,100,0.96,BR,1702005112
320,suwayr,30.1171,40.3893,13.52,59,0,3.52,SA,1702005114
321,gaiman,-43.2897,-65.4929,12.19,66,0,5.86,AR,1702005118
322,poco verde,-10.7083,-38.1833,21.72,96,68,2.42,BR,1702005121
323,shanhecun,44.7,127.2,3.74,82,85,8.32,CN,1702004947
324,tolanaro,-25.0319,46.9987,23.21,86,99,6.18,MG,1702005023
325,atafu village,-8.5421,-172.5159,28.8,73,82,1.6,TK,1702005030
326,inongo,-1.95,18.2667,21.69,96,100,1.25,CD,1702005127
327,saint-laurent-blangy,50.2945,2.807,5.29,95,100,4.54,FR,1702005129
328,crane,31.3974,-102.3501,16.23,52,0,6.36,US,1702005044
329,vernon,50.2581,-119.2691,4.23,87,100,0.97,CA,1702005071
330,kapa'a,22.0752,-159.319,26.18,79,75,3.6,US,1702005112
